trip_id,arrival_time,departure_time,stop_id,stop_sequence
WF_1,7:00:00,7:00:00,106_171,1
WF_1,7:05:00,7:05:00,14,2
WF_1,7:06:00,7:06:00,16,3
WF_1,7:07:00,7:07:00,17,4
WF_1,7:08:00,7:08:00,18,5
WF_1,7:09:00,7:09:00,19,6
WF_1,7:10:00,7:10:00,20,7
WF_1,7:12:00,7:12:00,21,8
WF_1,7:13:00,7:13:00,22,9
WF_1,7:14:00,7:14:00,23,10
WF_1,7:15:00,7:15:00,24,11
WF_1,7:16:00,7:16:00,25,12
WF_1,7:17:00,7:17:00,26,13
WF_1,7:18:00,7:18:00,27_92,14
WF_1,7:20:00,7:20:00,28,15
WF_1,7:22:00,7:22:00,29_88,16
WF_1,7:24:00,7:24:00,30,17
WF_1,7:26:00,7:26:00,31,18
WF_1,7:38:00,7:38:00,32,19
WF_1,7:39:00,7:39:00,33,20
WF_1,7:40:00,7:40:00,34,21
WF_1,7:46:00,7:46:00,35_80,22
WF_1,7:57:00,7:57:00,36,23
WF_1,8:01:00,8:01:00,37,24
WF_1,8:07:00,8:07:00,38_73,25
WF_1,8:16:00,8:16:00,40_71,26
WF_1,8:20:00,8:20:00,41_68,27
WF_1,8:22:00,8:22:00,42,28
WF_1,8:25:00,8:25:00,43_67,29
WF_1,8:32:00,8:32:00,44_66,30
WF_1,8:33:00,8:33:00,46,31
WF_1,8:34:00,8:34:00,47,32
WF_1,8:35:00,8:35:00,45,33
WF_1,8:41:00,8:41:00,48_65,34
WF_1,8:42:00,8:42:00,49_64,35
WF_1,8:49:00,8:49:00,50_63,36
WF_1,8:50:00,8:50:00,51,37
WF_1,8:51:00,8:51:00,53_60,38
WF_1,8:56:00,8:56:00,54_59,39
WF_1,9:00:00,9:00:00,55_58,40
WF_1,9:08:00,9:08:00,56,41
WF_2,8:00:00,8:00:00,106_171,1
WF_2,8:05:00,8:05:00,14,2
WF_2,8:06:00,8:06:00,16,3
WF_2,8:07:00,8:07:00,17,4
WF_2,8:08:00,8:08:00,18,5
WF_2,8:09:00,8:09:00,19,6
WF_2,8:10:00,8:10:00,20,7
WF_2,8:12:00,8:12:00,21,8
WF_2,8:13:00,8:13:00,22,9
WF_2,8:14:00,8:14:00,23,10
WF_2,8:15:00,8:15:00,24,11
WF_2,8:16:00,8:16:00,25,12
WF_2,8:17:00,8:17:00,26,13
WF_2,8:18:00,8:18:00,27_92,14
WF_2,8:20:00,8:20:00,28,15
WF_2,8:22:00,8:22:00,29_88,16
WF_2,8:24:00,8:24:00,30,17
WF_2,8:26:00,8:26:00,31,18
WF_2,8:38:00,8:38:00,32,19
WF_2,8:39:00,8:39:00,33,20
WF_2,8:40:00,8:40:00,34,21
WF_2,8:46:00,8:46:00,35_80,22
WF_2,8:57:00,8:57:00,36,23
WF_2,9:01:00,9:01:00,37,24
WF_2,9:07:00,9:07:00,38_73,25
WF_2,9:16:00,9:16:00,40_71,26
WF_2,9:20:00,9:20:00,41_68,27
WF_2,9:22:00,9:22:00,42,28
WF_2,9:25:00,9:25:00,43_67,29
WF_2,9:32:00,9:32:00,44_66,30
WF_2,9:33:00,9:33:00,46,31
WF_2,9:34:00,9:34:00,47,32
WF_2,9:35:00,9:35:00,45,33
WF_2,9:41:00,9:41:00,48_65,34
